"","female","Topic_study","parents","work","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q13_5","Q13_6","Q13_7","Q13_8"
"1",0,2,0,0,3,4,3,3,3,4,3,3,3,4
"2",1,2,1,1,2,2,4,3,2,3,4,4,4,4
"3",0,2,1,1,1,1,1,2,4,3,4,2,3,5
"4",1,2,1,1,4,3,5,5,3,4,3,3,2,4
"5",1,2,1,1,2,2,2,2,4,2,4,3,3,2
"6",1,2,1,1,2,2,2,1,2,2,5,4,4,4
"7",0,2,0,1,4,4,4,4,3,3,4,5,5,5
"8",1,2,0,1,1,1,2,1,2,1,2,1,3,3
"9",1,2,1,1,2,2,2,3,2,2,4,4,4,4
"10",1,2,1,1,4,3,4,2,2,2,3,3,4,4
"11",1,2,1,1,4,2,3,3,3,4,4,2,4,3
"12",0,2,1,1,1,3,1,2,4,5,4,3,3,4
"13",1,2,1,1,4,4,4,4,4,4,4,2,4,4
"14",1,2,1,0,2,2,4,2,2,3,5,4,4,4
"15",1,2,1,1,5,5,5,5,4,5,5,4,5,5
"16",1,2,0,1,2,4,2,4,2,3,4,2,4,5
"17",1,2,1,0,3,3,3,2,3,3,4,5,4,4
"18",1,2,1,0,2,2,2,2,3,3,5,5,4,4
"19",1,2,1,1,2,4,4,4,4,1,4,3,4,3
"20",1,2,1,1,4,4,4,3,3,2,5,2,5,5
"21",0,2,1,1,3,3,3,2,4,4,5,4,4,5
"22",1,2,0,1,3,2,2,2,3,1,4,3,4,4
"23",1,2,1,1,2,2,3,1,5,2,4,4,5,5
"24",0,2,0,1,3,4,4,1,2,2,4,2,4,4
"25",1,2,1,1,3,1,2,4,3,3,4,4,3,3
"26",0,2,1,1,4,4,4,3,2,3,4,4,4,4
"27",0,2,1,0,4,5,5,5,4,5,4,4,4,4
"28",0,2,1,1,5,4,4,2,3,2,2,2,4,5
"29",1,2,1,1,1,1,1,1,2,2,5,5,5,5
"30",1,2,1,1,1,1,3,4,1,3,4,4,4,3
"31",0,2,1,1,2,5,3,5,3,5,2,1,1,1
"32",1,2,0,1,5,5,5,5,4,5,5,5,3,5
"33",0,2,1,0,5,5,5,4,3,3,1,2,3,3
"34",1,2,1,1,4,4,4,2,4,2,2,4,3,4
"35",0,2,1,0,3,4,5,4,2,4,4,3,4,4
"36",0,2,1,1,2,3,4,4,3,4,2,3,4,4
"37",1,2,1,1,3,4,3,2,2,2,4,4,4,4
"38",0,2,1,1,1,4,4,1,4,3,5,3,3,4
"39",0,2,1,0,3,2,2,2,3,3,4,4,3,4
"40",0,2,1,1,2,2,4,3,3,2,5,3,5,5
"41",0,2,0,1,2,3,3,2,3,3,3,4,5,4
"42",0,2,1,1,4,4,4,3,2,3,4,4,4,4
"43",0,2,0,0,3,3,2,3,3,3,4,3,3,2
"44",1,2,0,1,1,1,2,1,2,1,4,4,4,4
"45",0,2,1,0,4,3,4,3,3,3,4,4,3,3
"46",1,2,1,1,1,2,2,4,2,2,4,4,4,3
"47",1,2,0,1,4,2,2,3,3,3,3,3,4,4
"48",1,2,1,1,4,4,5,4,2,4,4,4,4,4
"49",1,2,0,1,1,3,2,1,1,1,4,4,4,4
"50",0,2,1,1,3,4,4,4,4,4,4,4,4,4
"51",0,2,0,1,1,1,5,5,5,4,1,5,1,1
"52",0,2,1,0,2,4,4,2,3,4,2,2,3,2
"53",0,2,1,1,3,2,3,2,4,2,4,3,5,4
"54",0,2,1,1,2,3,4,4,3,4,4,4,4,3
"55",0,2,1,1,3,4,4,3,2,2,4,4,4,3
"56",0,2,1,0,2,3,3,2,2,2,4,4,4,4
"57",1,2,1,1,4,4,4,4,3,4,4,4,5,4
"58",0,2,1,1,2,2,2,1,2,2,4,3,4,3
"59",0,2,0,1,2,2,5,3,4,5,4,4,3,5
"60",1,2,1,1,2,1,3,5,2,4,5,5,5,5
"61",0,2,1,1,3,2,4,3,3,3,3,4,4,4
"62",0,2,0,1,3,3,3,3,3,3,2,2,2,2
"63",0,2,1,1,2,2,2,4,3,3,5,4,4,4
"64",0,1,1,1,3,2,3,3,3,4,4,3,4,4
"65",1,2,1,1,3,3,3,2,2,2,4,4,4,4
"66",0,2,1,1,5,4,5,4,2,2,5,5,5,2
"67",0,2,1,1,2,5,2,2,2,3,4,4,4,2
"68",0,2,0,1,2,2,2,2,4,4,4,4,4,4
"69",0,2,1,1,3,3,4,4,1,4,4,4,3,3
"70",0,2,1,1,2,2,2,3,3,2,4,4,5,4
"71",0,2,1,1,2,3,2,3,2,3,4,2,3,4
"72",1,2,0,1,3,4,4,4,3,2,3,4,4,4
"73",1,1,0,1,3,2,3,2,3,1,5,3,5,5
"74",0,2,0,1,4,5,4,4,3,3,3,3,4,3
"75",1,2,1,1,2,2,3,2,2,2,4,3,4,4
"76",1,1,0,1,3,1,2,1,2,2,5,5,4,4
"77",0,1,1,1,1,2,2,2,4,2,4,4,4,4
"78",1,2,0,1,3,2,2,3,2,2,4,4,5,5
"79",1,1,0,1,4,4,2,2,2,2,4,2,4,5
"80",1,1,1,1,3,4,3,4,4,4,5,5,4,4
"81",0,1,1,1,3,3,4,5,4,4,3,4,5,4
"82",1,1,0,1,2,1,2,1,2,2,4,3,3,3
"83",1,1,0,0,5,4,4,5,3,3,5,4,5,4
"84",0,1,0,0,4,4,4,4,3,4,1,2,4,4
"85",1,1,0,1,4,4,5,5,5,5,2,3,1,2
"86",0,1,0,0,4,4,5,2,4,3,4,5,4,5
"87",0,2,1,1,3,4,4,3,3,3,3,4,4,4
"88",1,1,0,1,4,2,3,4,4,4,4,4,4,4
"89",0,2,0,1,2,4,3,1,3,2,5,5,5,5
"90",0,1,0,1,4,3,4,2,3,2,3,3,2,2
"91",0,2,0,1,4,4,4,4,4,3,4,3,4,4
"92",1,1,1,1,1,2,1,1,2,1,4,2,3,4
"93",1,2,1,1,1,3,4,4,4,4,4,4,4,3
"94",0,2,0,1,2,1,1,2,1,1,5,4,4,2
"95",1,1,0,0,5,3,5,4,2,4,2,3,4,2
"96",1,1,0,1,4,4,4,4,4,4,5,5,4,4
"97",0,1,0,0,3,3,3,3,3,3,3,3,3,3
"98",0,2,0,1,4,3,4,4,2,3,4,3,3,4
"99",0,1,1,1,3,3,3,3,3,3,3,3,3,5
"100",1,1,0,1,4,3,4,3,1,2,4,5,5,4
"101",1,1,1,1,3,3,4,3,3,3,4,4,4,4
